City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Winder,33.9926,-83.7202,22.56,95,0,0.0,US,1660209874
Boa Vista,2.8197,-60.6733,25.99,83,0,2.06,BR,1660209876
Sungai Penuh,-2.0833,101.3833,22.72,88,85,1.01,ID,1660209879
Marabba,12.35,32.1833,29.74,59,89,6.53,SD,1660209881
Nizhniy Lomov,53.5304,43.6766,25.77,55,100,4.69,RU,1660209884
Torbay,47.6666,-52.7314,14.04,90,100,4.12,CA,1660209886
Mar del Plata,-38.0023,-57.5575,8.26,94,0,3.58,AR,1660209888
Castro,-24.7911,-50.0119,6.0,97,59,1.81,BR,1660209890
Yulara,-25.2406,130.9889,15.1,23,0,3.88,AU,1660209892
Boshnyakovo,49.6333,142.1667,16.65,79,39,2.48,RU,1660209607
Marsh Harbour,26.5412,-77.0636,27.83,73,4,5.29,BS,1660209897
Altay,47.8667,88.1167,30.51,20,3,6.45,CN,1660209899
São João da Barra,-21.6403,-41.0511,20.05,43,79,5.37,BR,1660209901
Wuzhou,23.4833,111.3167,27.43,89,98,2.07,CN,1660209903
Muromtsevo,56.3724,75.2418,26.71,51,25,3.62,RU,1660209905
Tuy Hoa,13.0833,109.3,31.1,65,97,2.32,VN,1660209908
Qandala,11.472,49.8728,34.9,43,84,3.07,SO,1660209910
Agirish,61.9247,63.0231,15.58,92,100,2.71,RU,1660209912
Bulgan,48.8125,103.5347,20.96,55,100,1.44,MN,1660209914
Husavik,66.0449,-17.3389,9.83,77,100,0.41,IS,1660209916
Kindia,10.0569,-12.8658,22.58,96,100,1.39,GN,1660209918
Constitución,-35.3333,-72.4167,7.9,83,0,2.58,CL,1660209921
Mbini,1.574,9.6134,26.91,78,100,4.71,GQ,1660209923
Souillac,-20.5167,57.5167,22.21,64,75,7.2,MU,1660209925
Kropotkin,45.4375,40.5756,35.19,25,23,7.28,RU,1660209927
Barra do Garças,-15.89,-52.2567,12.11,49,100,1.17,BR,1660209929
Ambositra,-20.5167,47.25,15.71,60,40,5.49,MG,1660209932
Arlit,18.7369,7.3853,35.9,29,84,1.29,NE,1660209934
Charters Towers,-20.1,146.2667,17.89,68,19,5.93,AU,1660209936
Matagami,49.7502,-77.6328,11.06,93,100,3.6,CA,1660209939
Pochutla,15.7432,-96.4661,24.9,91,100,1.45,MX,1660209941
Meulaboh,4.1363,96.1285,28.89,65,99,2.3,ID,1660209943
San Policarpo,12.1791,125.5072,28.67,75,32,1.19,PH,1660209946
Klaksvík,62.2266,-6.589,11.51,78,100,5.27,FO,1660209948
Inhambane,-23.865,35.3833,25.63,55,0,3.5,MZ,1660209950
Agadez,19.75,10.25,36.56,11,0,7.3,NE,1660209952
Batemans Bay,-35.7167,150.1833,12.83,66,100,4.16,AU,1660209955
Paamiut,61.994,-49.6678,5.88,96,100,4.37,GL,1660209957
Port Hedland,-20.3167,118.5667,24.03,50,100,3.6,AU,1660209960
Waingapu,-9.6567,120.2641,27.84,71,18,5.67,ID,1660209962
Jinzhou,41.1078,121.1417,28.53,62,7,3.16,CN,1660209964
Avera,33.194,-82.5271,21.73,82,100,2.21,US,1660209966
Mattoon,39.4831,-88.3728,17.57,94,0,1.54,US,1660209969
Zhaotong,27.3167,103.7167,23.77,68,98,4.41,CN,1660209971
Nikolayevka,53.1257,47.2041,27.88,51,94,3.52,RU,1660209973
Cap-aux-Meules,47.3821,-61.8597,17.03,94,100,4.63,CA,1660209975
Seidu,9.0167,-10.6,20.92,97,100,1.85,SL,1660209978
Flinders,-34.5833,150.8552,15.21,73,100,0.45,AU,1660209980
Digby,44.6169,-65.7655,15.65,91,91,1.97,CA,1660209983
Stony Plain,53.5334,-114.0021,17.51,94,20,0.0,CA,1660209985
Fazilka,30.4,74.0333,35.8,48,49,6.57,IN,1660209987
Basco,20.4487,121.9702,29.21,69,66,1.18,PH,1660209989
Sayyan,15.1718,44.3244,23.95,36,16,1.79,YE,1660209992
Half Moon Bay,37.4636,-122.4286,18.27,86,100,7.2,US,1660209994
Omboué,-1.5746,9.2618,24.83,72,100,3.57,GA,1660209996
Qeshm,26.9581,56.2719,38.94,69,1,5.45,IR,1660209999
Leshukonskoye,64.8989,45.7622,19.45,49,100,4.66,RU,1660210001
Hobyo,5.3505,48.5268,28.03,61,54,13.07,SO,1660210003
College,64.8569,-147.8028,8.97,81,20,3.09,US,1660210005
Oranjemund,-28.55,16.4333,15.04,66,100,3.42,NA,1660210007
Ilulissat,69.2167,-51.1,5.01,87,75,0.0,GL,1660210010
Lichuan,30.3,108.85,27.48,63,69,2.87,CN,1660210012
Kharan,28.5833,65.4167,38.95,21,2,4.56,PK,1660210014
Bilma,18.6853,12.9164,37.78,10,31,6.87,NE,1660210016
Auki,-8.7676,160.7034,25.59,86,78,1.8,SB,1660210018
Chumikan,54.7183,135.315,12.53,95,100,3.39,RU,1660210020
Maniitsoq,65.4167,-52.9,5.55,85,100,3.67,GL,1660210023
Haines Junction,60.7522,-137.5108,8.25,95,98,0.68,CA,1660210025
Vallenar,-28.5708,-70.7581,15.26,38,100,1.07,CL,1660210027
Yinchuan,38.4681,106.2731,33.92,38,47,2.33,CN,1660210029
Monrovia,6.3005,-10.7969,23.87,87,97,4.42,LR,1660210031
San Luis,-33.295,-66.3356,7.2,55,0,1.18,AR,1660210033
Wahiawā,21.5028,-158.0236,25.18,70,100,1.54,US,1660210036
Port Macquarie,-31.4333,152.9167,13.27,76,96,4.29,AU,1660209817
Gravdal,68.1214,13.5031,10.94,87,75,3.09,NO,1660210040
Lerwick,60.1545,-1.1494,13.0,97,100,3.22,GB,1660210042
Puerto del Rosario,28.5004,-13.8627,24.86,65,75,6.69,ES,1660210044
Nzérékoré,7.7562,-8.8179,21.17,98,100,1.25,GN,1660210047
Ostrołęka,53.0862,21.5757,24.4,52,2,3.93,PL,1660210049
Puerto Escondido,15.85,-97.0667,25.36,88,100,2.63,MX,1660210051
Muroto-misakicho,33.2833,134.15,29.04,75,92,2.47,JP,1660209931
Xining,36.6167,101.7667,28.22,50,90,2.66,CN,1660210055
Dul'durga,50.6761,113.5931,23.23,32,57,1.53,RU,1660210057
Pringsewu,-5.3582,104.9744,29.88,71,59,0.98,ID,1660210048
Hualmay,-11.0964,-77.6139,15.61,86,91,2.49,PE,1660210062
Itarema,-2.9248,-39.9167,22.95,86,81,4.62,BR,1660210064
Sola,-13.8833,167.55,25.37,83,100,10.29,VU,1660210066
Sibolga,1.7427,98.7792,29.27,63,51,2.33,ID,1660210068
Sinnamary,5.3833,-52.95,24.44,89,48,2.61,GF,1660210070
Lorengau,-2.0226,147.2712,26.99,78,39,1.45,PG,1660210072
Alofi,-19.0595,-169.9187,23.94,83,10,3.09,NU,1660210075
Hoi An,15.8794,108.335,29.98,76,100,2.98,VN,1660209818
Salt,32.0392,35.7272,27.6,45,2,3.37,JO,1660210079
Charter Township of Clinton,42.587,-82.9199,20.68,72,75,3.6,US,1660210081
Padang,-0.9492,100.3543,30.03,71,67,2.65,ID,1660210022
Tyrma,50.0833,132.1667,16.59,85,99,0.57,RU,1660210086
Sinazongwe,-17.2614,27.4618,23.95,44,0,3.74,ZM,1660210088
Coahuayana Viejo,18.7333,-103.6833,24.91,87,100,1.33,MX,1660210090
Poli,-3.3333,36.8,18.85,57,91,3.93,TZ,1660210092
Nyaunglebin,17.95,96.7333,26.8,88,96,2.88,MM,1660210095
Pisco,-13.7,-76.2167,15.03,88,100,1.54,PE,1660210097
Tinaquillo,9.9186,-68.3047,20.12,97,97,0.39,VE,1660210099
Miranda,3.2499,-76.2281,18.07,84,54,2.14,CO,1660210101
Gerāsh,27.6652,54.1371,42.08,16,10,1.09,IR,1660210103
Berdigestyakh,62.0989,126.6992,22.12,60,54,2.33,RU,1660210106
Mandalgovi,45.7625,106.2708,24.2,35,100,4.66,MN,1660210108
Zalari,53.5584,102.5065,21.47,53,41,4.59,RU,1660210110
Abnūb,27.2696,31.1511,36.43,20,0,7.39,EG,1660210112
Tagusao,9.1924,117.8141,28.43,77,99,0.57,PH,1660210114
Hearst,49.6835,-83.6665,8.11,88,49,2.86,CA,1660210117
Palana,59.1167,159.9667,10.93,94,100,1.63,RU,1660210119
Chifeng,42.2683,118.9636,29.6,30,3,4.24,CN,1660210121
‘Ewa Beach,21.3156,-158.0072,26.97,66,0,9.26,US,1660210123
Saint-Augustin,51.226,-58.6502,12.35,95,0,2.1,CA,1660210125
Manavālakurichi,8.1333,77.3,29.07,69,99,8.29,IN,1660210127
Knysna,-34.0363,23.0471,18.31,61,94,0.81,ZA,1660210130
Dharangaon,21.0167,75.2667,25.18,91,100,6.87,IN,1660210132
Marawi,7.9986,124.2928,24.29,82,66,1.5,PH,1660210134
Fairbanks,64.8378,-147.7164,8.98,82,0,3.09,US,1660210136
Cayenne,4.9333,-52.3333,25.05,1,75,0.0,GF,1660210138
Borås,57.721,12.9401,22.72,55,13,4.29,SE,1660210020
Chlórakas,34.8042,32.4083,31.42,62,20,5.14,CY,1660210143
Chakwal,32.9334,72.8585,30.81,64,69,8.86,PK,1660210145
Selma,36.5708,-119.6121,24.03,61,0,2.06,US,1660210147
Evensk,61.95,159.2333,11.85,98,100,1.75,RU,1660210149
Solnechnyy,50.7214,136.6319,16.09,93,50,1.69,RU,1660210151
Yantzaza,-3.8278,-78.7594,17.88,100,100,0.52,EC,1660210154
Salinas,36.6777,-121.6555,17.45,80,15,0.59,US,1660210156
Mehamn,71.0357,27.8492,12.95,87,75,8.23,NO,1660210158
Sobolevo,54.4299,31.8996,21.61,54,14,5.34,RU,1660210160
Srandakan,-7.9386,110.2506,26.65,82,52,6.07,ID,1660210162
Mount Isa,-20.7333,139.5,24.87,19,53,6.17,AU,1660210164
Alta Floresta,-9.8756,-56.0861,17.23,66,0,1.92,BR,1660210167
Westport,41.1415,-73.3579,24.49,88,100,1.54,US,1660210169
Turbat,26.0023,63.044,44.29,8,64,8.84,PK,1660210171
San Ramon,37.7799,-121.978,17.67,87,0,2.57,US,1660210173
Puerto Suárez,-18.95,-57.8,9.43,88,0,0.85,BO,1660210175
Ola,59.5833,151.2833,15.08,89,100,0.82,RU,1660210177
Porto Walter,-8.2686,-72.7439,17.79,97,16,1.17,BR,1660210180
Pecos,31.4229,-103.4932,25.72,53,40,2.57,US,1660210182
Malinyi,-8.9333,36.1333,28.89,42,99,0.9,TZ,1660210184
Shelburne,44.0787,-80.2041,14.51,97,90,4.6,CA,1660210186
Touros,-5.1989,-35.4608,22.49,91,56,4.19,BR,1660210188
Sucúa,-2.4667,-78.1667,18.18,99,100,0.76,EC,1660210191
Satuk,41.2263,32.3836,21.88,52,26,3.83,TR,1660210193
Lagoa,39.05,-27.9833,21.37,70,9,1.37,PT,1660210196
Skellefteå,64.7507,20.9528,19.2,59,40,7.72,SE,1660210198
Boende,-0.2167,20.8667,32.27,42,99,2.71,CD,1660210200
Faya,18.3851,42.4509,29.29,37,85,3.14,SA,1660210202
Nonantola,44.6761,11.0321,29.99,18,24,3.15,IT,1660210204
Dingle,10.9995,122.6711,26.59,84,63,0.68,PH,1660210206
Moose Factory,51.2585,-80.6094,10.99,82,100,5.66,CA,1660210208
Dombarovskiy,50.7587,59.5386,30.26,28,1,4.47,RU,1660210211
Sidi Ali,36.0998,0.4206,28.5,60,46,4.9,DZ,1660210213
Muhafazat Lahij,13.1667,44.5833,33.47,46,57,4.78,YE,1660210215
Qaryat Sulūq,31.6682,20.2521,32.81,34,0,7.38,LY,1660210217
Sorong,-0.8833,131.25,27.38,76,85,1.19,ID,1660210106
Aksu,41.1231,80.2644,33.08,23,77,4.04,CN,1660210222
Texarkana,33.4251,-94.0477,23.12,93,0,0.0,US,1660210224
Altamira,-3.2033,-52.2064,21.43,78,53,1.0,BR,1660210226
Huaraz,-9.5333,-77.5333,10.04,76,87,1.54,PE,1660210228
Brebes,-6.8706,109.0369,29.18,69,43,1.54,ID,1660210230
Rocha,-34.4833,-54.3333,6.21,91,15,1.52,UY,1660210232
Verāval,20.9,70.3667,27.41,89,100,9.73,IN,1660210235
Sitka,57.0531,-135.33,14.94,82,20,0.0,US,1660210237
Kipini,-2.5257,40.5262,27.16,69,43,8.11,KE,1660210239
Vila,42.0304,-8.1588,21.5,71,8,1.7,PT,1660210241
Faanui,-16.4833,-151.75,25.61,73,8,4.61,PF,1660210243
Tura,25.5198,90.2201,29.79,68,64,2.26,IN,1660210246
Distrikt Brokopondo,4.75,-55.1667,24.42,87,13,1.64,SR,1660210248
Bor,56.3567,44.0669,21.96,43,0,2.32,RU,1660210250
Caravelas,-17.7125,-39.2481,20.08,75,73,3.23,BR,1660210253
Kargil,34.5667,76.1,23.58,25,84,2.06,IN,1660210167
Westerland,54.9079,8.3033,25.53,56,0,3.09,DE,1660210257
Killybegs,54.6333,-8.45,18.84,60,0,1.77,IE,1660210259
Atambua,-9.1061,124.8925,23.51,82,86,0.95,ID,1660210261
Nuuk,64.1835,-51.7216,6.34,93,40,2.06,GL,1660210263
Zabaykal'sk,49.6333,117.3167,21.53,46,81,4.61,RU,1660210266
Bathsheba,13.2167,-59.5167,27.34,83,75,5.14,BB,1660210268
Guerrero Negro,27.9769,-114.0611,21.91,80,79,5.02,MX,1660210270
Behshahr,36.6923,53.5526,31.97,37,0,5.18,IR,1660210272
Winslow,35.0242,-110.6974,21.1,78,0,2.57,US,1660210274
Visby,57.6409,18.296,25.59,68,0,7.72,SE,1660210277
Mashhad,36.297,59.6062,30.08,28,0,6.17,IR,1660210279
Puerto Madryn,-42.7692,-65.0385,8.25,57,3,3.93,AR,1660210281
Lavrentiya,65.5833,-171.0,5.32,98,60,1.31,RU,1660210284
Mahibadhoo,3.7833,72.9667,28.0,75,35,2.96,MV,1660210286
Dongsheng,39.8161,109.9776,29.4,34,0,5.56,CN,1660210288
Dhārchula,29.85,80.5333,29.6,57,94,2.62,IN,1660210290
Huarmey,-10.0681,-78.1522,16.27,86,95,2.59,PE,1660210292
Dourbali,11.8091,15.8632,27.75,67,99,4.94,TD,1660210295
Russell,32.3502,-85.1999,22.57,100,40,0.0,US,1660210297
Āreka,7.0667,37.7,18.45,84,100,1.76,ET,1660210299
Mīzan Teferī,6.9833,35.5833,18.7,88,100,0.38,ET,1660210302
Iquique,-20.2208,-70.1431,15.02,76,11,0.53,CL,1660210304
Krasnogorodskoye,56.8357,28.2822,23.89,40,7,1.46,RU,1660210306
Guangyuan,32.442,105.823,32.28,64,69,4.19,CN,1660210309
Damaturu,11.747,11.9608,26.02,74,100,6.3,NG,1660210311
Koindu,8.4386,-10.3253,22.24,97,100,1.67,GN,1660210313
Saint-François,46.4154,3.9054,28.15,34,0,2.57,FR,1660210315
Khovd,48.0056,91.6419,24.21,35,30,3.89,MN,1660210317
Sovetskiy,61.3614,63.5842,17.7,94,100,2.51,RU,1660210320
Goderich,43.7501,-81.7165,19.95,77,27,8.04,CA,1660210322
Krasnosel'kup,65.7,82.4667,16.04,41,79,4.52,RU,1660210324
Uttaradit,17.6667,100.5,23.88,94,100,1.39,TH,1660210216
Vostok,46.4856,135.8833,16.5,90,68,1.03,RU,1660210328
Wasilla,61.5814,-149.4394,15.1,81,0,3.6,US,1660210331
Port Blair,11.6667,92.75,30.02,70,75,7.2,IN,1660210333
Altenholz,54.4,10.1333,25.6,46,0,1.54,DE,1660210335
Ladyzhyn,48.685,29.2368,23.47,58,77,6.15,UA,1660210338
Ostrovnoy,68.0531,39.5131,15.69,85,100,12.94,RU,1660210340
Ketchikan,55.3422,-131.6461,18.26,68,0,3.09,US,1660210342
Comodoro Rivadavia,-45.8667,-67.5,8.92,61,0,1.54,AR,1660210344
Aleppo Governorate,36.25,37.5,34.68,36,0,8.11,SY,1660210346
Khandyga,62.6667,135.6,14.56,92,100,1.31,RU,1660210349
Sisimiut,66.9395,-53.6735,5.01,80,75,0.49,GL,1660210186
Järvakandi,58.7789,24.8258,23.3,43,49,5.75,EE,1660210353
Antofagasta,-23.65,-70.4,13.6,84,74,0.83,CL,1660210356
South Yuba City,39.1166,-121.6391,22.32,60,0,4.12,US,1660210358
Bara,10.3744,10.7288,21.96,88,100,2.69,NG,1660210360
Meadow Lake,34.8014,-106.5436,22.71,64,94,2.55,US,1660210362
Hillsboro,45.5229,-122.9898,17.26,84,0,0.0,US,1660210365
Vila Velha,-20.3297,-40.2925,22.97,76,40,2.57,BR,1660210367
Florø,61.5996,5.0328,16.8,100,75,4.63,NO,1660210369
Cabañas,22.9758,-82.9219,23.98,89,28,3.08,CU,1660210372
Maunabo,18.0072,-65.8993,27.06,84,100,5.36,PR,1660210374
Nakamura,32.9833,132.9333,26.82,90,100,1.04,JP,1660210201
Oussouye,12.485,-16.5469,28.05,65,97,4.12,SN,1660210378
Erenhot,43.6475,111.9767,31.33,22,52,7.19,CN,1660210380
Ekhabi,53.5102,142.9671,13.04,94,79,5.07,RU,1660210383
Mount Gambier,-37.8333,140.7667,8.98,75,100,1.96,AU,1660210385
Damietta,31.4165,31.8133,29.65,54,0,4.15,EG,1660210387
Sukumo,32.9333,132.7333,27.08,89,100,1.39,JP,1660210389
Ciudad Bolivar,8.1222,-63.5497,23.55,92,95,1.37,VE,1660210391
Qinhuangdao,39.9317,119.5883,27.42,77,0,4.56,CN,1660210394
Narsaq,60.9167,-46.05,7.12,85,100,0.92,GL,1660210396
Maltahöhe,-24.8333,16.9833,25.03,3,1,4.01,NA,1660210398
Kiama,-34.6833,150.8667,15.21,77,100,2.68,AU,1660210326
Huzhou,30.8703,120.0933,32.88,64,52,1.27,CN,1660210361
Bhādra,29.1167,75.1667,35.74,40,100,9.79,IN,1660210404
San Patricio,28.017,-97.5169,28.92,81,100,2.36,US,1660210407
Waliso,8.5333,37.9833,15.06,94,100,2.02,ET,1660210409
Kurumkan,54.3,110.3,22.28,42,94,2.23,RU,1660210411
Saint George,37.1041,-113.5841,26.64,54,0,2.57,US,1660210413
Esso,55.9333,158.7,12.84,89,96,0.29,RU,1660210415
Riyadh,24.6877,46.7219,43.08,11,65,8.73,SA,1660210372
Rabaul,-4.1967,152.1721,26.99,80,99,2.92,PG,1660210420
Walvis Bay,-22.9575,14.5053,9.53,100,0,2.06,NA,1660210422
Labuhan,-6.8844,112.2051,29.08,72,36,5.28,ID,1660210424
Qasigiannguit,68.8193,-51.1922,5.14,99,100,1.91,GL,1660210426
Veselynove,47.3567,31.2349,31.99,29,61,6.64,UA,1660210428
Verkhnyaya Inta,65.9811,60.3094,15.56,68,83,4.05,RU,1660210431
Kamaishi,39.2667,141.8833,24.44,96,87,3.87,JP,1660210309
Machalí,-34.1833,-70.6667,8.81,52,16,1.67,CL,1660210435
Port-Cartier,50.0334,-66.8654,15.12,94,69,0.86,CA,1660210437
Jackson,42.4165,-122.8345,15.08,77,0,0.36,US,1660210440
Maroantsetra,-15.4333,49.7333,22.76,71,67,6.47,MG,1660210442
Hofn,64.2539,-15.2082,11.01,82,75,4.12,IS,1660210444
Saint John,45.2727,-66.0677,15.57,100,75,0.0,CA,1660210446
Moctezuma,29.8,-109.6667,20.97,83,82,2.04,MX,1660210448
Havøysund,70.9963,24.6622,12.13,91,97,15.54,NO,1660210451
Merritt,50.1123,-120.7942,16.03,98,27,1.77,CA,1660210453
Lira,2.235,32.9097,28.43,44,100,0.56,UG,1660210455
Port Moresby,-9.4431,147.1797,25.68,73,40,10.29,PG,1660210457
Sa Kaeo,13.75,102.3333,25.59,88,100,4.53,TH,1660210459
Zmeinogorsk,51.1567,82.195,24.22,47,65,1.23,RU,1660210461
Natal,-5.795,-35.2094,23.12,94,20,2.06,BR,1660210464
Ryabovo,59.4,31.1333,23.62,38,79,4.48,RU,1660210466
Plettenberg Bay,-34.0527,23.3716,17.72,62,96,1.96,ZA,1660210468
Naze,28.3667,129.4833,29.51,75,100,0.96,JP,1660210189
Tilichiki,60.4667,166.1,10.82,96,100,2.59,RU,1660210472
